p1_total_cost,p2_total_cost,p1_word_cost,p2_word_cost,p1_word,p2_word,p1_won,p2_won,system_word,round,game_over
168,146,23,10,Human Spirit,Robots,True,True,Drum,5,True
168,146,23,10,Human Spirit,Robots,True,True,Drum,5,True
168,146,23,10,Human Spirit,Robots,True,True,Drum,5,True
168,146,23,10,Human Spirit,Robots,True,True,Drum,5,True
168,146,23,10,Human Spirit,Robots,True,True,Drum,5,True
168,146,23,10,Human Spirit,Robots,True,True,Drum,5,True
168,146,23,10,Human Spirit,Robots,True,True,Drum,5,True
168,146,23,10,Human Spirit,Robots,True,True,Drum,5,True
168,146,23,10,Human Spirit,Robots,True,True,Drum,5,True
168,146,23,10,Human Spirit,Robots,True,True,Drum,5,True
168,146,23,10,Human Spirit,Robots,True,True,Drum,5,True
168,146,23,10,Human Spirit,Robots,True,True,Drum,5,True
168,146,23,10,Human Spirit,Robots,True,True,Drum,5,True
